Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	stime	utime	nprocs	nthreads
1773141702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
